Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
01/28/2025 00:00,CENTRAL EAST - VC,23330,2750.4,3090,-9999
01/28/2025 00:00,DYSINGER EAST,23326,1174.74,3200,-9999
01/28/2025 00:00,MOSES SOUTH,23319,106.03,2650,-1600
01/28/2025 00:00,SCH - HQ - NY,23324,-249,1450,-980
01/28/2025 00:00,SCH - HQ_CEDARS,325274,0,200,-100
01/28/2025 00:00,SCH - HQ_IMPORT_EXPORT,325376,-249,1310,-9999
01/28/2025 00:00,SCH - NE - NY,23318,-1476.68,1400,-1800
01/28/2025 00:00,SCH - NPX_1385,325277,-33,200,-200
01/28/2025 00:00,SCH - NPX_CSC,325154,125,330,-330
01/28/2025 00:00,SCH - OH - NY,23317,1550.05,2200,-1850
01/28/2025 00:00,SCH - PJ - NY,23316,1225.03,1700,-2400
01/28/2025 00:00,SCH - PJM_HTP,325905,200,660,-660
01/28/2025 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
01/28/2025 00:00,SCH - PJM_VFT,325658,315,315,-315
01/28/2025 00:00,SPR/DUN-SOUTH,23320,1374.87,4600,-9999
01/28/2025 00:00,TOTAL EAST,23314,4642.13,7550,-9999
01/28/2025 00:00,UPNY CONED,23315,2734.94,6145,-9999
01/28/2025 00:00,WEST CENTRAL,23312,687.38,9999,-9999
01/28/2025 00:05,CENTRAL EAST - VC,23330,2616.51,3090,-9999
01/28/2025 00:05,DYSINGER EAST,23326,1093.18,3200,-9999
01/28/2025 00:05,MOSES SOUTH,23319,76.3,2650,-1600
01/28/2025 00:05,SCH - HQ - NY,23324,-298,1450,-980
01/28/2025 00:05,SCH - HQ_CEDARS,325274,0,200,-100
01/28/2025 00:05,SCH - HQ_IMPORT_EXPORT,325376,-298,1310,-9999
01/28/2025 00:05,SCH - NE - NY,23318,-1363.47,1400,-1800
01/28/2025 00:05,SCH - NPX_1385,325277,15,200,-200
01/28/2025 00:05,SCH - NPX_CSC,325154,80,330,-330
01/28/2025 00:05,SCH - OH - NY,23317,1500.11,2200,-1850
01/28/2025 00:05,SCH - PJ - NY,23316,1047.45,1700,-2400
01/28/2025 00:05,SCH - PJM_HTP,325905,200,660,-660
01/28/2025 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
01/28/2025 00:05,SCH - PJM_VFT,325658,315,315,-315
01/28/2025 00:05,SPR/DUN-SOUTH,23320,1303.74,4600,-9999
01/28/2025 00:05,TOTAL EAST,23314,4421.79,7550,-9999
01/28/2025 00:05,UPNY CONED,23315,2671.63,6145,-9999
01/28/2025 00:05,WEST CENTRAL,23312,612.18,9999,-9999
01/28/2025 00:10,CENTRAL EAST - VC,23330,2623.69,3090,-9999
01/28/2025 00:10,DYSINGER EAST,23326,1142.29,3200,-9999
01/28/2025 00:10,MOSES SOUTH,23319,84.3,2650,-1600
01/28/2025 00:10,SCH - HQ - NY,23324,-298,1450,-980
01/28/2025 00:10,SCH - HQ_CEDARS,325274,0,200,-100
01/28/2025 00:10,SCH - HQ_IMPORT_EXPORT,325376,-298,1310,-9999
01/28/2025 00:10,SCH - NE - NY,23318,-1363.25,1400,-1800
01/28/2025 00:10,SCH - NPX_1385,325277,15,200,-200
01/28/2025 00:10,SCH - NPX_CSC,325154,80,330,-330
01/28/2025 00:10,SCH - OH - NY,23317,1500.06,2200,-1850
01/28/2025 00:10,SCH - PJ - NY,23316,1044.78,1700,-2400
01/28/2025 00:10,SCH - PJM_HTP,325905,200,660,-660
01/28/2025 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
01/28/2025 00:10,SCH - PJM_VFT,325658,315,315,-315
01/28/2025 00:10,SPR/DUN-SOUTH,23320,1315,4600,-9999
01/28/2025 00:10,TOTAL EAST,23314,4389.63,7550,-9999
01/28/2025 00:10,UPNY CONED,23315,2691.05,6145,-9999
01/28/2025 00:10,WEST CENTRAL,23312,657.32,9999,-9999
01/28/2025 00:15,CENTRAL EAST - VC,23330,2716.1,3050,-9999
01/28/2025 00:15,DYSINGER EAST,23326,1222.21,3200,-9999
01/28/2025 00:15,MOSES SOUTH,23319,38.85,2650,-1600
01/28/2025 00:15,SCH - HQ - NY,23324,-298,1450,-980
01/28/2025 00:15,SCH - HQ_CEDARS,325274,0,200,-100
01/28/2025 00:15,SCH - HQ_IMPORT_EXPORT,325376,-298,1310,-9999
01/28/2025 00:15,SCH - NE - NY,23318,-1481.53,1400,-1800
01/28/2025 00:15,SCH - NPX_1385,325277,15,200,-200
01/28/2025 00:15,SCH - NPX_CSC,325154,80,330,-330
01/28/2025 00:15,SCH - OH - NY,23317,1499.93,2200,-1850
01/28/2025 00:15,SCH - PJ - NY,23316,1197.78,1700,-2400
01/28/2025 00:15,SCH - PJM_HTP,325905,200,660,-660
01/28/2025 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
01/28/2025 00:15,SCH - PJM_VFT,325658,315,315,-315
01/28/2025 00:15,SPR/DUN-SOUTH,23320,1381.5,4600,-9999
01/28/2025 00:15,TOTAL EAST,23314,4555.05,7550,-9999
01/28/2025 00:15,UPNY CONED,23315,2757.87,6145,-9999
01/28/2025 00:15,WEST CENTRAL,23312,728.81,9999,-9999
01/28/2025 00:20,CENTRAL EAST - VC,23330,2823.73,3050,-9999
01/28/2025 00:20,DYSINGER EAST,23326,1225.27,3200,-9999
01/28/2025 00:20,MOSES SOUTH,23319,31.66,2650,-1600
01/28/2025 00:20,SCH - HQ - NY,23324,-298,1450,-980
01/28/2025 00:20,SCH - HQ_CEDARS,325274,0,200,-100
01/28/2025 00:20,SCH - HQ_IMPORT_EXPORT,325376,-298,1310,-9999
01/28/2025 00:20,SCH - NE - NY,23318,-1600.8,1400,-1800
01/28/2025 00:20,SCH - NPX_1385,325277,15,200,-200
01/28/2025 00:20,SCH - NPX_CSC,325154,80,330,-330
